Home,Start Time,Result,Away,AH Line Home,AH Home Odds,AH Away Odds,Home Win Odds,Draw Odds,Away Win Odds,O/U Line,Over Odds,Under Odds,Implied_GD,lambda_total,lambda_home,lambda_away,pUnder_fair,AH_model_WF,AH_market_pHome,Goals_Home,Goals_Away,PK_Home,PK_Away,IGDev_Home,IGDev_Away,H_Actual_GD_NP,H_Actual_GD_NP – Implied_GD,GD Dev Percentage,OverPerf_Thres_H,UnderPerf_Thres_H,OverPerf,UnderPerf,Normal Range
Getafe,2025-09-13,HT:2-0/FT:2-0,Oviedo,-0.5,1.95,1.8,1.95,2.8,3.9,1.5,1.5,2.35,0.673323,2.061519,1.367421,0.694098,0.38961,0.530421,0.48,2,0,0,0,0.632579,-0.694098,2,1.326677,197.03,1.110983,0.235663,Yes,No,No
Sevilla,2025-09-12,HT:1-0/FT:2-2,Elche,-0.5,2,1.85,1.9,3.05,3.6,2.5,2.1,1.63,0.620802,2.425723,1.523263,0.902461,0.563003,0.518013,0.480519,2,2,0,0,0.476737,1.097539,0,-0.620802,-100,1.024323,0.217281,No,Yes,No
Vallecano,2025-08-31,HT:0-1/FT:1-1,Barcelona,1.25,1.97,1.85,6,4.7,1.37,3.5,2.07,1.65,-1.434708,3.40872,0.987006,2.421714,0.556452,0.47703,0.484293,1,1,0,1,0.012994,-2.421714,1,2.434708,-169.7,-0.502148,-2.367268,Yes,No,No
Espanyol,2025-08-31,HT:0-0/FT:1-0,Osasuna,0,1.75,2.1,2.25,2.95,2.95,2.5,2.15,1.6,0.263128,2.386143,1.324635,1.061507,0.573333,0.563783,0.545455,1,0,0,0,-0.324635,-1.061507,1,0.736872,280.04,0.434161,0.092095,Yes,No,No
Real Betis,2025-08-31,HT:0-0/FT:1-2,Athletic Bilbao,0.25,1.77,2.07,2.65,2.9,2.5,2.5,2.1,1.63,-0.056602,2.425723,1.184561,1.241163,0.563003,0.555023,0.539063,1,2,0,0,-0.184561,0.758837,-1,-0.943398,1666.72,-0.019811,-0.093393,No,Yes,No
Celta de Vigo,2025-08-31,HT:0-0/FT:1-1,Villarreal,0.25,1.77,2.07,2.55,3.3,2.35,2.5,1.65,2.07,-0.079342,2.910454,1.415556,1.494898,0.443548,0.544076,0.539063,1,1,0,0,-0.415556,-0.494898,0,0.079342,-100,-0.02777,-0.130914,Yes,No,No
Real Madrid,2025-08-30,HT:2-1/FT:2-1,Mallorca,-2,2.02,1.8,1.17,6,11,3.5,2.35,1.5,2.176802,3.164685,2.670744,0.493941,0.61039,0.513805,0.471204,2,1,0,0,-0.670744,0.506059,1,-1.176802,-54.06,3.591723,0.761881,No,Yes,No
Girona,2025-08-30,HT:0-1/FT:0-2,Sevilla,0,1.75,2.1,2.35,3,2.75,2.5,2,1.7,0.15269,2.512774,1.332732,1.180042,0.540541,0.536271,0.545455,0,2,0,0,-1.332732,0.819958,-2,-2.15269,-1409.84,0.251939,0.053442,No,Yes,No
Oviedo,2025-08-30,HT:1-0/FT:1-0,Sociedad,0.25,1.91,1.91,3.2,2.9,2.15,2.5,2.25,1.55,-0.386309,2.314848,0.964269,1.350579,0.592105,0.474455,0.5,1,0,0,0,0.035731,-1.350579,1,1.386309,-358.86,-0.135208,-0.63741,Yes,No,No
Alaves,2025-08-30,HT:1-1/FT:1-1,Atletico Madrid,0.75,1.77,2.03,4.2,3.3,1.72,2.5,2.03,1.67,-0.867227,2.481184,0.806978,1.674206,0.548649,0.484486,0.534211,1,1,1,0,-0.806978,-0.674206,-1,-0.132773,15.31,-0.303529,-1.430925,Yes,No,No
Valencia,2025-08-29,HT:1-0/FT:3-0,Getafe,-0.25,1.75,2.05,2.03,2.8,3.7,1.5,1.55,2.25,0.583129,1.993034,1.288081,0.704953,0.407895,0.577622,0.539474,3,0,0,0,1.711919,-0.704953,3,2.416871,414.47,0.962163,0.204095,Yes,No,No
Elche,2025-08-29,HT:0-0/FT:2-0,Levante,-0.25,1.88,1.93,2.1,3,3.2,2.5,2.1,1.63,0.409167,2.425723,1.417445,1.008278,0.563003,0.531118,0.506562,2,0,0,0,0.582555,-1.008278,2,1.590833,388.8,0.675126,0.143208,Yes,No,No
Celta de Vigo,2025-08-27,HT:0-1/FT:1-1,Real Betis,-0.25,1.85,1.97,2.05,3.3,3,2.5,1.8,1.87,0.369882,2.712927,1.541405,1.171522,0.490463,0.521477,0.515707,1,1,0,0,-0.541405,-0.171522,0,-0.369882,-100,0.610305,0.129459,No,Yes,No
Sevilla,2025-08-25,HT:1-1/FT:1-2,Getafe,-0.5,2,1.8,2.2,2.9,3.1,1.5,1.45,2.5,0.333137,2.149347,1.241242,0.908105,0.367089,0.43926,0.473684,1,2,0,0,-0.241242,1.091895,-1,-1.333137,-400.18,0.549676,0.116598,No,Yes,No
Athletic Bilbao,2025-08-25,HT:0-0/FT:1-0,Vallecano,-0.75,1.91,1.91,1.65,3.3,4.7,2.5,2.15,1.6,1.016849,2.386143,1.701496,0.684647,0.573333,0.552003,0.5,1,0,1,0,-1.701496,-0.684647,0,-1.016849,-100,1.677801,0.355897,No,Yes,No
Oviedo,2025-08-24,HT:0-1/FT:0-3,Real Madrid,1.5,1.97,1.98,9.5,4.8,1.27,2.5,1.65,2.07,-1.954724,2.910454,0.477865,2.432589,0.443548,0.419448,0.501266,0,3,0,0,-0.477865,0.567411,-3,-1.045276,53.47,-0.684153,-3.225295,No,No,Yes
Villarreal,2025-08-24,HT:4-0/FT:5-0,Girona,-1.25,1.97,1.8,1.48,4.1,5,2.5,1.55,2.25,1.182578,3.069071,2.125825,0.943246,0.407895,0.467232,0.477454,5,0,0,0,2.874175,-0.943246,5,3.817422,322.81,1.951254,0.413902,Yes,No,No
Sociedad,2025-08-24,HT:0-2/FT:2-2,Espanyol,-0.5,1.8,1.97,1.8,3.2,4.1,2.5,2.2,1.58,0.799657,2.353093,1.576375,0.776718,0.582011,0.563894,0.522546,2,2,0,1,0.423625,0.223282,1,0.200343,25.05,1.319434,0.27988,No,Yes,No
Osasuna,2025-08-24,HT:1-0/FT:1-0,Valencia,-0.25,2.02,1.8,2.25,2.95,2.95,2.5,2.3,1.53,0.263128,2.283112,1.27312,1.009992,0.600522,0.494553,0.471204,1,0,0,0,-0.27312,-1.009992,1,0.736872,280.04,0.434161,0.092095,Yes,No,No
Levante,2025-08-23,HT:2-0/FT:2-3,Barcelona,2,1.8,2.02,9.5,5.5,1.22,3.5,1.75,1.93,-1.993741,3.789948,0.898104,2.891845,0.475543,0.519542,0.528796,2,3,1,0,0.101896,0.108155,-2,-0.006259,0.31,-0.697809,-3.289673,Yes,No,No
Atletico Madrid,2025-08-23,HT:1-1/FT:1-1,Elche,-1.75,2,1.82,1.2,5.5,11,2.5,1.65,2.07,2.152208,2.910454,2.531331,0.379123,0.443548,0.566269,0.47644,1,1,0,0,-1.531331,0.620877,0,-2.152208,-100,3.551143,0.753273,No,Yes,No
Mallorca,2025-08-23,HT:0-1/FT:1-1,Celta de Vigo,0.25,1.77,2.07,2.75,2.85,2.45,2.5,2.3,1.53,-0.112209,2.283112,1.085451,1.19766,0.600522,0.543302,0.539063,1,1,0,0,-0.085451,-0.19766,0,0.112209,-100,-0.039273,-0.185145,Yes,No,No
Real Betis,2025-08-22,HT:1-0/FT:1-0,Alaves,-0.5,1.8,2.02,1.75,3.3,4,2.5,2.1,1.63,0.803036,2.425723,1.61438,0.811344,0.563003,0.564377,0.528796,1,0,0,0,-0.61438,-0.811344,1,0.196964,24.53,1.325009,0.281063,No,Yes,No
Real Madrid,2025-08-19,HT:0-0/FT:1-0,Osasuna,-1.75,1.85,1.97,1.18,6,10,3.5,2.3,1.53,2.07595,3.208976,2.642463,0.566513,0.600522,0.549319,0.515707,1,0,1,0,-2.642463,-0.566513,0,-2.07595,-100,3.425318,0.726583,No,Yes,No
Elche,2025-08-18,HT:0-1/FT:1-1,Real Betis,0.25,1.85,1.97,2.95,3.1,2.15,2.5,2.07,1.65,-0.30729,2.450965,1.071837,1.379128,0.556452,0.493753,0.515707,1,1,0,0,-0.071837,-0.379128,0,0.30729,-100,-0.107552,-0.507029,Yes,No,No
Espanyol,2025-08-17,HT:0-1/FT:2-1,Atletico Madrid,1,1.85,1.97,5.8,3.6,1.5,2.5,2.07,1.65,-1.313714,2.450965,0.568625,1.88234,0.556452,0.443306,0.515707,2,1,0,0,1.431375,-0.88234,1,2.313714,-176.12,-0.4598,-2.167628,Yes,No,No
Athletic Bilbao,2025-08-17,HT:2-0/FT:3-2,Sevilla,-1,2.07,1.77,1.58,3.5,5,2.5,2.1,1.63,1.119065,2.425723,1.772394,0.653329,0.563003,0.510077,0.460938,3,2,1,0,0.227606,1.346671,0,-1.119065,-100,1.846457,0.391673,No,Yes,No
Celta de Vigo,2025-08-17,HT:0-0/FT:0-2,Getafe,-0.75,1.91,1.91,1.65,3.2,5,1.5,1.45,2.5,1.076955,2.149347,1.613151,0.536196,0.367089,0.568025,0.5,0,2,0,0,-1.613151,1.463804,-2,-3.076955,-285.71,1.776976,0.376934,No,Yes,No
Alaves,2025-08-16,HT:1-0/FT:2-1,Levante,-0.25,1.82,2,2.05,2.95,3.4,2.5,2.45,1.47,0.491466,2.191477,1.341471,0.850006,0.625,0.552401,0.52356,2,1,0,0,0.658529,0.149994,1,0.508534,103.47,0.810919,0.172013,No,No,Yes
Valencia,2025-08-16,HT:0-0/FT:1-1,Sociedad,-0.25,2.15,1.72,2.55,2.65,2.85,1.5,1.55,2.25,0.108045,1.993034,1.050539,0.942495,0.407895,0.451187,0.444444,1,1,0,0,-0.050539,0.057505,0,-0.108045,-100,0.178274,0.037816,No,Yes,No
Mallorca,2025-08-16,HT:0-2/FT:0-3,Barcelona,1.25,1.8,2.02,5.5,4.2,1.42,3.5,2.35,1.5,-1.315364,3.164685,0.92466,2.240025,0.61039,0.503288,0.528796,0,3,0,0,-0.92466,0.759975,-3,-1.684636,128.07,-0.460377,-2.170351,No,No,Yes
Villarreal,2025-08-15,HT:2-0/FT:2-0,Oviedo,-1.25,1.82,2,1.3,4.5,8.5,2.5,1.8,1.87,1.824,2.712927,2.268463,0.444464,0.490463,0.610207,0.52356,2,0,0,0,-0.268463,-0.444464,2,0.176,9.65,3.0096,0.6384,No,Yes,No
Girona,2025-08-15,HT:0-3/FT:1-3,Vallecano,-0.25,1.97,1.85,2.2,3.05,2.95,2.5,2,1.7,0.284958,2.512774,1.398866,1.113908,0.540541,0.501042,0.484293,1,3,0,1,-0.398866,0.886092,-1,-1.284958,-450.93,0.470181,0.099735,No,Yes,No
